CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,sinal_id,pilar,nome,severidade,peso,valor_observado,limiar,limiar_sentido,materialidade_regra,materialidade_rs,meses_consecutivos,persistencia_min_meses,persistencia_atendida,meses_com_disparo,ultimo_mes_disparo,tipo_evidencia
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),1666972490.26,13,3,True,13,2026-06-30,observado
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,1276051396.17,13,3,True,13,2026-06-30,derivado
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,alta,6,1.0,1.0,>=,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,1276051396.17,13,3,True,13,2026-06-30,derivado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,859141390.79,13,3,True,13,2026-06-30,derivado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GV-05,4. Governança e conflitos,Auditor independente ou custodiante ausente no registro,média,3,1.0,1.0,>=,PL >= R$ 50 mi,977835561.91,13,3,True,13,2026-06-30,observado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.30079439658083484,0.01,>=,PL >= R$ 10 mi,294127457.8,13,2,True,13,2026-06-30,observado
07383363000100,RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,116288616.65,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PO-01,"8. PLD/FTP, lastro e movimentação",Giro anual da carteira no extremo do mercado,média,3,10.272319413990111,9.068093452089315,>=,carteira média 12m >= R$ 50 mi,1338474334.78,13,2,True,13,2026-06-30,derivado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),3140454721.87,13,3,True,13,2026-06-30,observado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,872942712.65,12,3,True,12,2026-06-30,observado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ES-03,2. Estrutura e subordinação,Colchão subordinado menor que a inadimplência líquida de provisão,crítica,10,1.0,1.0,>=,inadimplência líquida de provisão >= R$ 10 mi e sênior emitida,47882684.550000004,13,2,True,13,2026-06-30,derivado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,JR-03,6. Risco judicial e regulatório,Classificação SCR concentrada em faixas E a H,alta,6,1.0,0.14966251315747137,>=,DC >= R$ 50 mi,874423304.19,13,3,True,13,2026-06-30,observado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,QA-05,1. Qualidade do ativo,Inadimplência integralmente envelhecida (> 360 dias),média,3,1.0,1.0,>=,inadimplência >= R$ 10 mi,49363276.09,13,3,True,13,2026-06-30,derivado
07727757000120,EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,515352066.52,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,469882673.77,8,3,True,8,2026-06-30,observado
07727757000120,EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,515352066.52,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,alta,6,-18.92,-3.561999999999999,<=,PL >= R$ 50 mi,341297714.780002,1,2,False,1,2026-06-30,observado
07727757000120,EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,515352066.52,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,515352066.52,8,1,True,8,2026-06-30,observado
07727757000120,EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,515352066.52,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.848752681348559,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,342129215.85999995,6,2,True,6,2026-06-30,derivado
07738319000168,SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS,22537671.77,BANCO FINAXIS S.A.,DI-04,5. Integridade dos dados e reportes,Soma das séries de cotas incompatível com o patrimônio líquido,média,3,0.17296420043452804,0.10533478935286547,>=,PL >= R$ 10 mi,3898210.3773538843,1,2,False,1,2026-06-30,derivado
07738319000168,SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS,22537671.77,BANCO FINAXIS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,1.0120077123654019,0.01,>=,PL >= R$ 10 mi,22808297.65,13,2,True,13,2026-06-30,observado
08315045000167,HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,344885023.07,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,304917165.18,7,3,True,7,2026-06-30,observado
08315045000167,HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,344885023.07,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.6402678424083995,0.01,>=,PL >= R$ 10 mi,220818789.6,13,2,True,13,2026-06-30,observado
08417544000165,PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,1240666511.7,OLIVEIRA TRUST DTVM S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,1196256755.39,13,3,True,13,2026-06-30,derivado
08417544000165,PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,1240666511.7,OLIVEIRA TRUST DTVM S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,1131079037.48,13,3,True,13,2026-06-30,observado
08621199000187,FAMCRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS  RESPONSABILIDADE LIMITADA,161827873.73,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,DI-06,5. Integridade dos dados e reportes,Carteira estagnada ao centavo por três meses ou mais,média,3,24.0,3.0,>=,carteira >= R$ 10 mi,170662306.24,13,1,True,13,2026-06-30,observado
08621199000187,FAMCRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS  RESPONSABILIDADE LIMITADA,161827873.73,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,JR-03,6. Risco judicial e regulatório,Classificação SCR concentrada em faixas E a H,alta,6,0.15126063572276355,0.14966251315747137,>=,DC >= R$ 50 mi,17481316.4,13,3,True,13,2026-06-30,observado
08632394000102,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,1569551198.23,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,1375304920.8899999,1,3,False,5,2026-06-30,observado
08654210000105,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA,502797099.05,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,483462884.03000003,6,3,True,6,2026-06-30,observado
08661352000108,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,454435894.87,PLANNER CORRETORA DE VALORES S.A.,CN-01,3. Concentração,Cedente único dominante,média,3,99.96,98.836,>=,DC >= R$ 50 mi,454093026.775332,7,3,True,7,2026-06-30,observado
08661352000108,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,454435894.87,PLANNER CORRETORA DE VALORES S.A.,CN-02,3. Concentração,Índice HHI de cedentes no topo,média,3,9992.0016,9774.09064,>=,DC >= R$ 50 mi,454274736.67,7,3,True,7,2026-06-30,derivado
08661352000108,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,454435894.87,PLANNER CORRETORA DE VALORES S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,454274736.67,7,3,True,10,2026-06-30,derivado
08661352000108,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,454435894.87,PLANNER CORRETORA DE VALORES S.A.,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,454435894.87,5,1,True,5,2026-06-30,observado
08661352000108,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,454435894.87,PLANNER CORRETORA DE VALORES S.A.,QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,alta,6,1.0,1.0,>=,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,454274736.67,7,3,True,7,2026-06-30,derivado
08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,1234030780.83,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,1124654459.9,6,3,True,6,2026-06-30,observado
08845618000164,FIDC MULTISETORIAL MAXIMUM,2479947.43,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,QA-05,1. Qualidade do ativo,Inadimplência integralmente envelhecida (> 360 dias),média,3,1.0,1.0,>=,inadimplência >= R$ 10 mi,340977064.27,13,3,True,13,2026-06-30,derivado
08927488000109,FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL,0.0,BANCO GENIAL S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,13,1,True,13,2026-06-30,observado
08987105000198,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA,13722894.63,BANCO DAYCOVAL S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,3.045149334503052,0.01,>=,PL >= R$ 10 mi,41788263.45,3,2,True,10,2026-06-30,observado
09009924000123,ECO MULTI COMMODITIES FIDC AGROPECUARIOS,56563787.96,OLIVEIRA TRUST DTVM S.A.,DI-04,5. Integridade dos dados e reportes,Soma das séries de cotas incompatível com o patrimônio líquido,média,3,1.0,0.10533478935286547,>=,PL >= R$ 10 mi,56563787.96,4,2,True,4,2026-06-30,derivado
09115244000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,694519721.34,OLIVEIRA TRUST DTVM S.A.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,2.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),694519721.34,13,3,True,13,2026-06-30,observado
09115244000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,694519721.34,OLIVEIRA TRUST DTVM S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,675364435.48,13,3,True,13,2026-06-30,derivado
09115244000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,694519721.34,OLIVEIRA TRUST DTVM S.A.,JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,baixa,1,1.0,0.9172193898000603,>=,carteira segmentada >= R$ 50 mi,675364435.48,13,3,True,13,2026-06-30,observado
09115244000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,694519721.34,OLIVEIRA TRUST DTVM S.A.,QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,alta,6,1.0,1.0,>=,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,675364435.48,13,3,True,13,2026-06-30,derivado
09137729000189,MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,133281248.13,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.6506312156937332,0.01,>=,PL >= R$ 10 mi,86716940.5,13,2,True,13,2026-06-30,observado
09137729000189,MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,133281248.13,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.638495166394474,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,78268373.06,13,2,True,13,2026-06-30,derivado
09163026000125,MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,80699331.29,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-01,5. Integridade dos dados e reportes,Percentuais de cedentes inconsistentes,média,3,1.0,1.0,>=,DC >= R$ 50 mi,75783495.84,1,1,True,7,2026-06-30,observado
09163026000125,MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,80699331.29,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-02,5. Integridade dos dados e reportes,Divergência entre direitos creditórios da tab I e das tabs V/VI,média,3,1.072131901800111,0.4017465666657221,>=,DC >= R$ 50 mi,81249903.52000001,13,3,True,13,2026-06-30,derivado
09172117000127,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP,371328923.76,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,290419756.59999996,13,3,True,13,2026-06-30,observado
09172117000127,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP,371328923.76,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.707625344625734,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,294790973.47,13,2,True,13,2026-06-30,derivado
09194841000151,ATLÂNTICO FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,143574277.68,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,IC-03,7. Inconsistências contábeis e econômicas,Resultado positivo na sênior com inadimplência alta e provisão nula,alta,6,1.0,1.0,>=,inadimplência >= R$ 10 mi,154186672.38,2,2,True,4,2026-06-30,derivado
09194841000151,ATLÂNTICO FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,143574277.68,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-01,1. Qualidade do ativo,Inadimplência abrangente no topo do mercado,alta,6,0.994426852892323,0.3593440265166055,>=,DC (tab I) >= R$ 50 mi,154186672.38,10,3,True,12,2026-06-30,derivado
09194841000151,ATLÂNTICO FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,143574277.68,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-03,1. Qualidade do ativo,Provisão nula diante de inadimplência material,alta,6,0.0,0.0,<=,inadimplência >= R$ 10 mi,154186672.38,10,3,True,12,2026-06-30,derivado
09194841000151,ATLÂNTICO FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,143574277.68,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-05,1. Qualidade do ativo,Inadimplência integralmente envelhecida (> 360 dias),média,3,1.0,1.0,>=,inadimplência >= R$ 10 mi,154186672.38,1,3,False,3,2026-06-30,derivado
09195235000150,FIDC DO SISTEMA PETROBRAS,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,58239773982.06,13,3,True,13,2026-06-30,derivado
09195235000150,FIDC DO SISTEMA PETROBRAS,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,ES-01,2. Estrutura e subordinação,Subordinação no fundo da distribuição do mercado,alta,6,0.0015158049175739124,0.0330676045540233,<=,PL >= R$ 50 mi,61162120976.33072,13,3,True,13,2026-06-30,derivado
09195235000150,FIDC DO SISTEMA PETROBRAS,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,GV-02,4. Governança e conflitos,Gestor e administrador na mesma pessoa jurídica,média,3,1.0,1.0,>=,PL >= R$ 50 mi,61254971563.01,13,3,True,13,2026-06-30,observado
09195235000150,FIDC DO SISTEMA PETROBRAS,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,alta,6,1.0,1.0,>=,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,58239773982.06,13,3,True,13,2026-06-30,derivado
09217017000170,ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA,79700375.04,BANCO BNP PARIBAS BRASIL S/A,DI-04,5. Integridade dos dados e reportes,Soma das séries de cotas incompatível com o patrimônio líquido,média,3,1.0,0.10533478935286547,>=,PL >= R$ 10 mi,79700375.04,9,2,True,12,2026-06-30,derivado
09220444000107,DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,22931209.52,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,1.1526355217742565,0.01,>=,PL >= R$ 10 mi,26431326.65,13,2,True,13,2026-06-30,observado
09221411000181,VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,59618554.37,BANCO FINAXIS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.7808228960248773,0.01,>=,PL >= R$ 10 mi,46551532.28,13,2,True,13,2026-06-30,observado
09221411000181,VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,59618554.37,BANCO FINAXIS S.A.,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.542745762105927,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,30146117.96,13,2,True,13,2026-06-30,derivado
09236210000158,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS I,60456315.85,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,baixa,1,1.0,0.9172193898000603,>=,carteira segmentada >= R$ 50 mi,60186372.65,13,3,True,13,2026-06-30,observado
09257784000102,SUL BRASIL PROFISSIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,7,1,True,7,2026-06-30,observado
09260031000156,FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM,80996734.05,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CN-05,3. Concentração,Ativo composto quase inteiramente por cotas de outros FIDCs,baixa,1,0.9995927213479542,0.9968472480623022,>=,PL >= R$ 50 mi,80984286.85,3,3,True,12,2026-06-30,observado
09414255000175,DANIELE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,13420660.42,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,1.0464752583315866,0.01,>=,PL >= R$ 10 mi,14044389.08,8,2,True,12,2026-06-30,observado
09443633000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA,312198831.01,OLIVEIRA TRUST DTVM S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,305133438.88,13,3,True,13,2026-06-30,derivado
09443633000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA,312198831.01,OLIVEIRA TRUST DTVM S.A.,GV-02,4. Governança e conflitos,Gestor e administrador na mesma pessoa jurídica,média,3,1.0,1.0,>=,PL >= R$ 50 mi,312198831.01,13,3,True,13,2026-06-30,observado
09443633000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA,312198831.01,OLIVEIRA TRUST DTVM S.A.,JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,baixa,1,1.0,0.9172193898000603,>=,carteira segmentada >= R$ 50 mi,305133438.88,13,3,True,13,2026-06-30,observado
09527140000197,BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,412745731.73,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),412745731.73,13,3,True,13,2026-06-30,observado
09527140000197,BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,412745731.73,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.5595913481987663,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,226518841.49,13,2,True,13,2026-06-30,derivado
09584892000190,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS EXODUS - D30,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,7,1,True,9,2026-06-30,observado
09609468000152,MACRO FUND - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,31472558.59,BANCO FINAXIS S.A.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.6417189998151974,0.01,>=,PL >= R$ 10 mi,20196538.82,13,2,True,13,2026-06-30,observado
09636040000107,ATLANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA,13447847.78,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PO-06,"8. PLD/FTP, lastro e movimentação",Aquisição relevante de créditos já vencidos ou inadimplentes,baixa,1,0.9357061899524508,0.700746704710924,>=,carteira média 12m >= R$ 10 mi,13534874.629999999,5,2,True,5,2026-06-30,observado
10145630000108,QUATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL,234024477.0,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,234024477.0,1,1,True,1,2026-06-30,observado
