CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,sinal_id,pilar,nome,severidade,peso,valor_observado,limiar,limiar_sentido,materialidade_regra,materialidade_rs,meses_consecutivos,persistencia_min_meses,persistencia_atendida,meses_com_disparo,ultimo_mes_disparo,tipo_evidencia
23954863000101,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,1174546978.45,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,1174546978.45,1,1,True,1,2026-06-30,observado
23954863000101,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,1174546978.45,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,baixa,1,1.0,0.9172193898000603,>=,carteira segmentada >= R$ 50 mi,1174988073.09,1,3,False,1,2026-06-30,observado
23956882000169,SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,954213469.15,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,747964402.26,6,3,True,6,2026-06-30,observado
23956961000170,RIDOLFINVEST 2 FIDC NÃO PADRONIZADOS - RESPONSABILIDADE LIMITADA,225823999.67,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,207776684.79,13,3,True,13,2026-06-30,derivado
23956961000170,RIDOLFINVEST 2 FIDC NÃO PADRONIZADOS - RESPONSABILIDADE LIMITADA,225823999.67,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,alta,6,-99.7,-3.561999999999999,<=,PL >= R$ 50 mi,85251841.3195148,1,2,False,1,2026-06-30,observado
23956961000170,RIDOLFINVEST 2 FIDC NÃO PADRONIZADOS - RESPONSABILIDADE LIMITADA,225823999.67,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,baixa,1,1.0,0.9172193898000603,>=,carteira segmentada >= R$ 50 mi,207776684.79,13,3,True,13,2026-06-30,observado
23957002000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,6,1,True,6,2026-06-30,observado
24069420000192,RIO CLARO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,-31496.6,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,31496.6,2,1,True,3,2026-06-30,observado
24069733000140,MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,933195240.21,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,2.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),933195240.21,13,3,True,13,2026-06-30,observado
24069733000140,MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,933195240.21,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,936768320.02,13,3,True,13,2026-06-30,derivado
