entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
ALGARVE AMAZÔNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,48279539000158,238674382.02,134043956.26,235259156.04000002,235259156.04000002,235259156.04000002,2,235259156.04,0.5697714746422415,1.0000000000000002,1.0000000000000002,False
PRECATO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,52115758000179,208782454.93,133470922.83,207527596.45,211471377.96999997,213659524.81,20,213659524.81,0.6246897859980315,0.9713004680439455,0.9897587208342531,False
ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,49826785000145,3364983017.12,132423161.72,432020847.1,701708315.0699999,1206112232.09,25,3215320257.17,0.0411850612469172,0.13436323990949753,0.2182390116521756,False
FIDC GM - VENDA DE VEÍCULOS,11230727000181,2984648919.61,131331014.02,394672530.32,629371460.9800001,1044151755.5399998,24,2617311838.6,0.05017782446979988,0.15079308644059408,0.24046483559889864,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR IV,51983832000106,527467198.34,130982612.12,512502203.67,518616701.04,518616701.04,6,518616701.04,0.2525615003476287,0.9882099875346506,1.0,False
FUNDO DE GESTÃO DE ATIVOS DE CRÉDITO - FIDC RESPONSABILIDADE LIMITADA,47085610000107,383115911.65,130573832.94,241592180.2,272603610.61999995,279632356.15999997,24,280580932.24,0.46536958836643716,0.8610427596460821,0.9715685540128702,False
JCI III - FIDC RESPONSABILIDADE LIMITADA,40054747000147,424575799.25,130394774.23,130394774.23,130394774.23,130394774.23,1,130394774.24,0.9999999999233099,0.9999999999233099,0.9999999999233099,False
AZUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA,17198676000134,125576738.21,129193302.47,131026527.03,131026527.03,131026527.03,3,109167143.05,1.1834449346249518,1.2002377580769712,1.2002377580769712,True
DB DRILLING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,55331248000127,128735586.42,128756394.42,128756394.42,128756394.42,128756394.42,1,128756394.42,1.0,1.0,1.0,False
AGROSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,33953549000150,18799119.1,128621791.07,128621791.07,128621791.07,128621791.07,1,102031439.13,1.2606093981103292,1.2606093981103292,1.2606093981103292,True
ORIZ JURI LSN IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,67220127000197,164174167.14,128247685.78,128247685.78,128247685.78,128247685.78,1,128247685.78,1.0,1.0,1.0,False
PBG SUPPLIERS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIO,58922423000149,164840396.17,128156083.27,160537274.42,160537274.42,160537274.42,2,160537274.42000002,0.7982948740908365,0.9999999999999998,0.9999999999999998,False
