DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,57532556000146,1246401933.83,193453533.31024998,1246401933.8335,0.15520959014822291
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,63465818000108,1245855236.41,0.0,1245855236.4144576,0.0
PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,08417544000165,1240666511.7,286292748.54417974,1240666510.2492127,0.23075721491561185
BTG PACTUAL ATLAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59595605000115,1239913416.4,,1239913416.4036236,
MCA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE  INVESTIMENTO EM DIREITOS CREDITÓRIO,19392834000118,1234132292.78,,1234132293.4286554,
SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,08678936000188,1234030780.83,497486088.65998197,1234030781.3000758,0.40313912440325883
LIETO11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO RESPONSABILIDADE ILIMITADA,47094392000169,1225291499.88,,1225291499.8800745,
JIVE BOSSANOVA HY ADVISORY - FIC FIDC,43121036000136,1222037129.19,1222037129.1715703,1222037129.1715703,1.0
CIB-K FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,48357568000190,1217072890.67,0.0,1217072890.6698866,0.0
HOD II LONG PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29242999000167,1216374305.64,206987842.24292022,349306117.812634,0.5925686144264655
SPECIALE FI EM COTAS DE FUNDOS DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,55682228000109,1215486145.64,,1215486145.6369307,
VALORA GUARDIAN ADVISORY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,25213355000190,1206500966.37,0.0,1206500966.370001,0.0
ER 2030 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61267293000162,1202310624.7,106867275.48005696,1202310624.7032275,0.08888491316995185
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29226654000110,1193589922.6,950612296.4778208,1193589922.6077209,0.7964312352779843
MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,29469420000101,1178965486.16,477652420.1207267,1178965485.974998,0.4051453802531893
CREDIT OPS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51679169000150,1177031022.4,1177031022.3998482,1177031022.3998482,1.0
JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,23954863000101,1174546978.45,0.019999990000000002,1174658764.8600001,1.7026212716663863e-11
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL - RESPONS. LIMITADA,14051028000162,1168381489.17,273281269.5110251,1168381493.359423,0.23389729387553473
