entidade,cnpj,dc_com_risco,dc_sem_risco,valor,VL_PL,dc_sobre_pl
HERCULES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,28671081000170,88976992.7,250961489.38,339938482.08,347247870.72,0.9789505155932435
RB CAPITAL CREDIT ALPHA STRATEGY I FIDC - RESPONSABILIDADE LIMITADA,32724252000150,337630889.21,0.0,337630889.21,439934830.91,0.7674565992231496
ENDURANCE INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36953080000147,337363512.14,0.0,337363512.14,550804156.07,0.6124926771560625
ATIVOS ESPECIAIS II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,35448967000115,335187618.19,0.0,335187618.19,427000000.0,0.7849827123887588
FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,58171340000165,334525827.89,0.0,334525827.89,357712011.78,0.9351819812406524
BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,09527140000197,206817117.49,127481120.0,334298237.49,412745731.73,0.809937479156497
LEPTA MULTISETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59904247000185,33411314.86,300372965.86,333784280.72,337304845.12,0.9895626628228613
SARFATY CRÉDITO CORPORATIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56844535000101,7108784.57,326202064.15,333310848.71999997,347695795.17,0.9586277813829565
KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,52271464000136,332943663.31,0.0,332943663.31,347342248.66,0.9585464037111874
MT CONSIGNADO PRIVADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,58458416000138,330309719.49,0.0,330309719.49,387756518.91,0.8518482691626039
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS XPCE V,27771731000197,327859983.44,0.0,327859983.44,388134717.51,0.8447066666525468
XENON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,54332890000168,325786224.52,0.0,325786224.52,325645774.42,1.0004312971671445
VERZEKERING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53262924000122,325777141.49,0.0,325777141.49,325638947.93,1.0004243766320904
GUARDIAN MULTI CONSIGNADO III FIDC RESPONSABILIDADE LIMITADA,52341847000133,0.0,325534498.58,325534498.58,331524918.49,0.9819307099530115
ARTESANAL SPECIAL SITS FIDC MULTISETORIAL - RESPONSABILIDADE LIMITADA,21053898000136,325245649.63,0.0,325245649.63,325574072.79,0.9989912490353252
FALCON CONSIGNADO FUNDO DE  INVESTIMENTOS EM DIREITOS CREDITÓRIOS,55695976000118,325040940.6,0.0,325040940.6,337177262.33,0.9640061086974424
MT INSS RECEIVABLES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40752367000186,324758901.75,0.0,324758901.75,426917130.82,0.7607071216051231
LEVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,22945783000119,221151781.11,101088739.41,322240520.52,330500809.21,0.9750067519963275
ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26208328000191,51872431.2,270110759.47,321983190.67,362729545.48,0.8876673948462611
CAMPANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54229771000184,319858666.58,0.0,319858666.58,391941800.38,0.8160871493417821
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FUTURO CONSIGNADO PÚBLICO III RESP LTDA,55072790000102,0.0,319650446.03,319650446.03,335957104.15,0.9514620827523287
MULTIPLICA LONG TERM LONGO PRAZO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32510577000130,318851766.45,721893.84,319573660.28999996,387912834.57,0.8238285300465663
DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA,29720595000131,196114322.85,118890534.33,315004857.18,314819121.43,1.0005899760762826
FIDC SINAI CONSIG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,60742391000141,314239984.88,0.0,314239984.88,309009580.11,1.0169263515006173
LL CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,60645628000176,309769880.44,0.0,309769880.44,309510399.02,1.000838360910721
STEP-UP VIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,29746406000108,309171587.58,0.0,309171587.58,352150407.98,0.8779532284328889
MANSELL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55823114000123,307213925.42,0.0,307213925.42,307087718.71,1.0004109793466511
INTRA SOLIDEZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57660236000171,57732556.41,248893817.48,306626373.89,328755715.72,0.9326875829929372
IF-AÇOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,52073804000114,306488901.83,0.0,306488901.83,306388514.05,1.0003276486401953
FARMTECH KEY ACCOUNTS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,58154011000106,306218406.44,0.0,306218406.44,365458694.08,0.8379015505729572
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA,09443633000149,305133438.88,0.0,305133438.88,312198831.01,0.9773689347037507
HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,08315045000167,133845685.47,171071479.71,304917165.18,344885023.07,0.8841125151384499
ARCESP CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42404659000153,303069272.16,0.0,303069272.16,310040634.1,0.9775146830019982
OPHIR FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS,42605322000104,24990156.87,277214275.19,302204432.06,313077894.98,0.9652691451732974
VANTAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56945961000123,301781791.2,0.0,301781791.2,301651532.94,1.0004318170000015
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL TRADEMAX RESPONSABILIDADE LIMITADA,08756222000140,35518534.35,265683202.1,301201736.45,332410774.37,0.9061130374635155
VERMILLION I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,28651441000172,299963074.1,0.0,299963074.1,957903049.18,0.31314554678240075
SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41351629000163,48320927.54,250911080.66,299232008.2,306361844.98,0.9767273996523115
BINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52258255000152,35243091.32,260366951.68,295610043.0,329825623.67,0.896261605483285
MRV PRÓ  SOLUTO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IMOBILIÁRIOS DE RESP LIMITADA,62790827000101,0.0,295544550.03,295544550.03,299790011.19,0.9858385503134414
FGCB III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MULTICARTEIRA - RESP LIMITADA,60742201000196,294108122.06,0.0,294108122.06,368376658.65,0.7983896784824155
TAYA FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54968056000163,155770623.13,137995825.3,293766448.43,295849655.91,0.9929585604093664
GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICRÉDITO,13098860000151,44397192.26,248195957.4,292593149.66,305031610.3,0.9592223880411388
CONSIGNADO PLGN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52596071000100,0.0,291468742.56,291468742.56,302242413.12,0.9643542067812881
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP,09172117000127,33940436.68,256479319.92,290419756.59999996,371328923.76,0.7821091706492171
QUORRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53848060000125,290156274.3,0.0,290156274.3,290123577.84,1.000112698389574
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA INCLUSÃO FINANCEIRA,41778453000120,288856645.3,0.0,288856645.3,347646895.16,0.8308909106380986
ZENIT FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,47846781000101,155296823.47,132378519.59,287675343.06,312158314.32,0.9215687356803767
CENTRO SUL CONCESSOES FIDC DE RESPONSABILIDADE LIMITADA,57088244000195,287396631.03,0.0,287396631.03,288349194.25,0.9966964942542057
TRAÇÃO FINANCEIRA  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,23750225000160,286947008.25,0.0,286947008.25,322087626.33,0.8908973359814943
JIF CRÉDITOS - FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS CRÉD PRIV DE RESPONSABILIDADE ILIMITAD,35138028000174,286415743.81,0.0,286415743.81,640370291.03,0.44726582076335275
RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40919667000107,286003373.62,0.0,286003373.62,281538432.34,1.015859082693932
AUDAX CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40895649000132,3917518.22,281990520.78,285908039.0,337398007.8,0.8473910111807127
LIMAJ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29243004000182,283843522.33,2002619.95,285846142.28,298128181.27,0.9588028245512397
GII GESTAO INTELIGENTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,24546098000145,34421307.14,250999636.32,285420943.46,296537103.08,0.9625134274782435
PÁTRIA INFRA CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,48905593000161,283234906.79,0.0,283234906.79,395294364.67,0.7165164295384034
SPS ALGARVE DELTA CRÉDITOS JUDICIAIS FIDC DE RESPONSABILIDADE LIMITADA,46449843000170,281977781.37,0.0,281977781.37,282130262.87,0.9994595351152731
AGL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,34218393000126,265579816.38,16122088.51,281701904.89,349488078.88,0.8060415273469885
FUNDO DE GESTÃO DE ATIVOS DE CRÉDITO - FIDC RESPONSABILIDADE LIMITADA,47085610000107,280580932.24,0.0,280580932.24,383115911.65,0.7323656462912144
JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP,26208281000166,279454774.36,0.0,279454774.36,279833743.71,0.9986457339098007
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS JPM III,29720639000123,15346601.04,263917290.0,279263891.04,284558014.72,0.9813952747554507
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XI,58035124000192,279088589.07,0.0,279088589.07,294240334.75,0.9485055449896982
MONTE SIÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57088975000130,6066210.14,272185282.75,278251492.89,302613420.54,0.9194948868872792
BANFITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,35580989000134,15485704.22,262150903.29,277636607.51,281569395.14,0.9860326168330739
GALLERIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2,59851384000107,277551647.89,0.0,277551647.89,341407971.21,0.812961826598003
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54248022000102,276878253.57,0.0,276878253.57,310583203.44,0.8914785168782918
STEP-UP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26607511000160,276750862.27,0.0,276750862.27,275823522.26,1.0033620773253915
CONSIGNADOS VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55843467000195,276540885.7,0.0,276540885.7,280182298.79,0.9870034148990643
GALAXY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,44177436000126,0.0,274567723.38,274567723.38,308355649.09,0.890425468741329
IFOOD PAGO CRÉDITO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESP. LIMITADA,59323530000113,273089386.89,0.0,273089386.89,338414443.75,0.806967290946192
GALAPAGOS SPECIAL OPPORTUNITIES INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,60696539000159,272872795.71,0.0,272872795.71,276186525.39,0.9880018415984606
SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,26690373000125,272490897.92,0.0,272490897.92,328162522.39,0.8303534966011815
CREDVALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,28194817000167,5092465.1,267145535.18,272238000.28000003,323246669.37,0.842198933744887
CANAL 47 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,32388169000157,272015366.85,0.0,272015366.85,284021764.96,0.9577271899859827
ALGARVE LEGAL CLAIMS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53744997000150,271610809.2,0.0,271610809.2,305467755.78,0.8891635993018393
CASHME I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,51928470000150,271236739.87,0.0,271236739.87,265462187.78,1.0217528233994124
BETEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60617666000115,270918000.0,0.0,270918000.0,271061173.93,0.9994718021473744
FIDC UP.P CONSIGNADO PRIVADO - RESP LIMITADA,62339527000100,270063383.82,0.0,270063383.82,327690730.93,0.8241410523073045
DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,11468192000181,263360120.4,6680195.06,270040315.46,338088492.32,0.7987267286353167
CJP FIDC-NP CRÉDITOS JUDICIAIS E PRECATÓRIOS,11375619000105,268975450.28,0.0,268975450.28,290687822.15,0.9253069092836093
FANGIO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,57268846000124,268311076.94,0.0,268311076.94,268178931.02,1.000492752803128
CAPITAL SOLUTIONS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,61995584000177,258617273.96,9592742.28,268210016.24,271976551.22,0.9861512510431338
ANKARA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,19388377000198,267964404.47,0.0,267964404.47,347172918.16,0.7718470838399453
DISAM CASH - FIDC AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA,24270541000106,0.0,267147237.35,267147237.35,273574186.12,0.9765074736723116
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54218941000125,266881348.37,0.0,266881348.37,301953274.03,0.8838498248688786
NORFOLK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54349373000100,266475026.87,0.0,266475026.87,266346654.9,1.0004819732766992
TAIPATSB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,21081976000106,30000.0,266436932.39,266466932.39,306003884.27,0.870795914978926
ATF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,51306712000174,1605997.65,263346356.63,264952354.28,310409334.13,0.8535579479998416
MIDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,58055083000104,263679394.03,0.0,263679394.03,272445948.05,0.9678227770214768
DEL REY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,50452371000182,263670552.0,0.0,263670552.0,256764750.13,1.0268954436561233
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ASAAS III - RESPONSABILIDADE LIMITADA,61292200000150,263285028.89,0.0,263285028.89,308073444.29,0.8546177340821393
IOX SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADO,47425662000177,262846323.28,0.0,262846323.28,263240297.4,0.9985033669848756
FACT LAW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,27944660000187,257007783.8,5546897.95,262554681.75,289897198.46,0.9056820250238717
WIZARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51124933000121,0.0,262539036.13,262539036.13,42522239.02,6.1741583270466265
SOLIS CONSIGNADO FEDERAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,47117773000116,261847159.55,0.0,261847159.55,267352193.71,0.9794090555846668
IOX REAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52298532000150,24753819.8,236698624.77,261452444.57000002,297885563.73,0.8776942437095657
BIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62190416000177,261319430.5,0.0,261319430.5,271101548.08,0.9639171459946316
CONSIGNADOS V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,47240173000140,260752959.81,0.0,260752959.81,262177584.96,0.9945661824971904
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALION II CONSIGNADOS,46766050000185,260478068.43,0.0,260478068.43,264861217.81,0.9834511469204816
DIRECIONAL RECEBÍVEIS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE  RESP LTDA,62729814000119,0.0,260285171.94,260285171.94,267236880.65,0.9739867166047913
RIO BRAVO INLIRA STEFANINI CONSÓRCIO FIDC DE RESPONSABILIDADE LIMITADA,55711648000168,259341902.58,0.0,259341902.58,317988374.4,0.8155703901733586
TIGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADO,50182107000176,258906336.0,0.0,258906336.0,340699635.16,0.7599254865019504
INVICT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,53287227000126,258651313.62,0.0,258651313.62,279128189.14,0.9266398869168689
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4,55565510000106,258399853.04,0.0,258399853.04,267416885.76,0.9662809897199515
GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,12254372000123,103129992.49,154415789.39,257545781.88,286636165.44,0.8985111194348246
R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,11693671000100,0.0,257256315.2,257256315.2,286591423.05,0.8976413615669088
SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS  RESPONSABILIDADE ILIMITADA,53429996000111,257226825.44,0.0,257226825.44,257026052.64,1.0007811379349985
FUNDO DE CRÉDITO E RECEBÍVEIS - FIDC RESPONSABILIDADE LIMITADA,47085633000103,256984801.87,0.0,256984801.87,277948724.48,0.9245762949651223
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42085830000109,255414395.99,0.0,255414395.99,308205214.77,0.8287153615509217
CP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59532738000142,255353121.03,0.0,255353121.03,282968049.89,0.9024097283395248
FLAGSTAFF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58544960000100,253940189.27,0.0,253940189.27,253773925.87,1.000655163446875
EUCALIPTO FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE  LIMITADA,66358370000103,252827829.07,0.0,252827829.07,254302931.07,0.9941994298146962
SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,47640584000123,251645634.5,0.0,251645634.5,285125290.74,0.8825791421269276
GUARDIAN MULTI CONSIGNADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46767226000113,251535808.11,0.0,251535808.11,258668615.04,0.9724249231825168
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DOTZ NOVERDE - RESPONSABILIDADE LIMITADA,63395725000146,251474789.52,0.0,251474789.52,255391245.82,0.984664876482257
LEGEND I SPECIAL ASSETS LEGAL CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58533905000107,250180930.56,0.0,250180930.56,247824466.18,1.0095086026667297
DIGGER FIDC - SEGMENTO DE RECEBÍVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,62387472000104,249498514.47,0.0,249498514.47,304341088.96,0.8197989805536642
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VOITER CONSIGNADO II - RESPONSABILIDADE LIMITADA,54427427000108,247760224.2,0.0,247760224.2,544689767.38,0.4548648405710757
ANGÁ FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53577135000180,247259405.24,0.0,247259405.24,249730019.95,0.9901068573554167
BRAVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51430054000128,235106624.72,12101868.91,247208493.63,248784842.29,0.9936638074671668
PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA - RESP LTDA,53662209000187,247118610.53,0.0,247118610.53,270289137.35,0.914275035071068
FACTA INSS CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,38082159000175,246864220.53,0.0,246864220.53,278780352.94,0.8855151301968934
APPIA FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,57651404000162,246338762.3,0.0,246338762.3,248143243.12,0.9927280678800213
PARANÁ II FIDC DO SEGMENTO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA,62191905000143,245788715.82,0.0,245788715.82,325540613.13,0.7550170574933696
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CONSÓRCIOS YELLOWSTONE - RESPONSABILIDADE LIMITADA,55013574000196,245265640.38,0.0,245265640.38,170317911.66,1.4400460761262484
SG II B FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61996793000135,0.0,244977292.14,244977292.14,244943145.1,1.0001394080246093
JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,26570645000153,244330815.97,0.0,244330815.97,244205150.79,1.000514588572737
SOLAR PUGLIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52498421000198,23540814.33,220705956.39,244246770.71999997,304498232.36,0.8021286981765912
CALÊNDULA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,43946448000105,244239972.7,0.0,244239972.7,241140869.7,1.0128518363720573
BTG CONSÓRCIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II,43721713000157,0.0,243988916.6,243988916.6,343317985.5,0.7106790989835864
RAIZES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,17498285000135,63799236.49,179503971.76,243303208.25,264450503.64,0.9200330681964286
LARCA AURORA FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS CONSIGNADO DE RESPONSABILIDADE  LIMITADA,63168433000170,243021002.71,0.0,243021002.71,279033501.11,0.8709384419550281
MAJORITY - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,28481469000109,0.0,241667561.7,241667561.7,441852859.55,0.5469412644429269
MTR CRÉDITOS SELECIONADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITA,60327212000100,241029310.63,0.0,241029310.63,269572747.06,0.8941160160242497
ROCKET IV CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50991111000185,240014853.5,0.0,240014853.5,240128819.8,0.9995253951604187
FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS VCK CONSIGNADOS - RESPONSABILIDADE LIMITADA,30366120000178,239183680.79,0.0,239183680.79,268426438.97,0.8910585771945205
MENTORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,46082763000120,238909650.24,0.0,238909650.24,286656199.11,0.8334361893507212
BEX FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,44002535000177,10906582.26,227488722.98,238395305.23999998,246712950.77,0.9662861414285697
PÁTRIA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,28819553000190,238084071.22,0.0,238084071.22,375489546.81,0.6340631137209047
OKNO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,48969748000123,237263151.21,0.0,237263151.21,265565589.53,0.8934258072738646
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO EAN,22235997000100,237161851.01,0.0,237161851.01,308493277.57,0.7687747781025334
VALECRED DISTRESSED & SPECIAL SITS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,26648752000157,236916476.29,0.0,236916476.29,245697268.08,0.9642617443058383
ALGARVE AMAZÔNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,48279539000158,235259156.04,0.0,235259156.04,238674382.02,0.9856908565087902
BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,11507489000109,52686141.62,182446947.08,235133088.70000002,336031124.63,0.6997360406983203
EXCLUSIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE  LIMITADA,17015979000174,228950829.89,6006380.6,234957210.48999998,256890104.05,0.9146214929488639
LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP,33554498000193,234605539.06,0.0,234605539.06,317361753.43,0.7392369638887396
PAY CARGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36544636000141,220851984.41,13625522.57,234477506.98,229392653.83,1.0221665910616662
FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS KUNA CAPITAL RESPONSABILIDADE LIMITADA,42299325000167,234390297.65,0.0,234390297.65,243658739.84,0.961961380100356
LABRADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21917325000103,61293133.65,172989913.42,234283047.07,260167064.91,0.9005100132526225
