entidade,cnpj,dc_com_risco,dc_sem_risco,valor,VL_PL,dc_sobre_pl
VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,62588266000154,0.0,2738344752.38,2738344752.38,3085111034.31,0.8876000642850264
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,62393829000159,2701059105.03,0.0,2701059105.03,3091715187.97,0.8736442203796586
SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,55471753000177,2633221900.31,0.0,2633221900.31,2879663753.83,0.9144199203145755
CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51079269000146,2618802204.14,0.0,2618802204.14,3058107297.6,0.8563473904905932
FIDC GM - VENDA DE VEÍCULOS,11230727000181,2617311838.6,0.0,2617311838.6,2984648919.61,0.8769245258306629
ATLANTA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,11468186000124,74528522.07,2480568096.41,2555096618.48,3090301588.05,0.8268114116629899
ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59356753000187,2461430928.86,0.0,2461430928.86,2463356625.53,0.9992182631414216
GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,29492605000129,91436741.46,2357103119.17,2448539860.63,2494236413.23,0.9816791414167418
CLOUDWALK A.I. FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57609282000146,2442991406.59,0.0,2442991406.59,2700487143.69,0.9046484121571664
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,52256912000122,0.0,2393814408.84,2393814408.84,2661592324.9,0.8993918364000164
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,60528786000146,2372987761.72,0.0,2372987761.72,2374382918.49,0.9994124129014172
FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,63662224000189,2367073934.46,0.0,2367073934.46,2430490971.94,0.973907725553335
ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,42358004000196,0.0,2341685355.99,2341685355.99,2341582512.2,1.000043920634641
SOMA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,38314763000180,2274812019.32,0.0,2274812019.32,2464460565.77,0.92304662972331
VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50095909000149,2186604951.8,0.0,2186604951.8,2489750068.19,0.8782427520484494
RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57719370000109,2143000000.0,0.0,2143000000.0,2140596574.92,1.0011227828298706
AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,47228232000165,2004963612.54,111564138.51,2116527751.05,2352850421.12,0.8995589911076854
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,13321819000100,2098119640.26,0.0,2098119640.26,2110355080.85,0.9942021886738265
