papel,pl_identificado,cobertura_sobre_pl_corte,n_entidades
custodiantes,990158881719.2003,0.9906567579730579,46
controladores,69532187005.7,0.069567149500536,27
auditores,972936182357.9506,0.9734253986147131,34
