DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
PLATA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,17198574000119,239576896.6,,,,RF2 recompras/substituições > 15% da carteira (12m),90885984.25999999,176249564.8425,0.5156664320914349,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SABIA CREDIT,29957532000101,217786533.51,,,,RF2 recompras/substituições > 15% da carteira (12m),104030902.30999999,203458147.14333335,0.5113135245290115,,,,,,,,
PONTUAL BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMIT,31844721000101,166559632.75,,,,RF2 recompras/substituições > 15% da carteira (12m),87484232.87,178457315.56499997,0.49022497392736697,,,,,,,,
MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II - CRÉDITO MERCANTIL RESP LIMITADA,60871638000120,838018529.68,,,,RF2 recompras/substituições > 15% da carteira (12m),254997891.70999998,541843512.3933333,0.4706116911572298,,,,,,,,
LEPTA MULTISETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59904247000185,337304845.12,,,,RF2 recompras/substituições > 15% da carteira (12m),124894004.55,267018450.32666668,0.46773548568350387,,,,,,,,
INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,26489103000150,136418699.99,,,,RF2 recompras/substituições > 15% da carteira (12m),79751192.89999999,170895176.8425,0.4666673125216406,,,,,,,,
INTERBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,20791371000146,473536709.71,,,,RF2 recompras/substituições > 15% da carteira (12m),173380157.10999998,373494704.00333333,0.46421048344624616,,,,,,,,
SUPER BOX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54028640000139,156416953.58,,,,RF2 recompras/substituições > 15% da carteira (12m),48971000.0,105944860.49083333,0.4622310112366151,,,,,,,,
BEX FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,44002535000177,246712950.77,,,,RF2 recompras/substituições > 15% da carteira (12m),77565016.78999999,169106269.54833335,0.4586761744385275,,,,,,,,
STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,52304780000167,151637878.52,,,,RF2 recompras/substituições > 15% da carteira (12m),48953542.36,110114076.18833333,0.44457115797141533,,,,,,,,
METROPOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57284265000186,142891879.57,,,,RF2 recompras/substituições > 15% da carteira (12m),58659941.58,132133655.90833335,0.44394398366374466,,,,,,,,
MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,22175405000101,145164202.12,,,,RF2 recompras/substituições > 15% da carteira (12m),57808666.690000005,130891795.52,0.44165233168619006,,,,,,,,
RDF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,19425700000156,232999620.24,,,,RF2 recompras/substituições > 15% da carteira (12m),119747629.46,272367221.27416664,0.4396550689903365,,,,,,,,
OS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL - RESPONSABILIDADE LIMITADA,21888857000160,111576205.41,,,,RF2 recompras/substituições > 15% da carteira (12m),44405490.54,102500324.85000001,0.43322292495153975,,,,,,,,
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18185812000114,561951177.27,,,,RF2 recompras/substituições > 15% da carteira (12m),179775244.09,418826464.8666666,0.4292356361655213,,,,,,,,
LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,12400421000199,194318406.42,,,,RF2 recompras/substituições > 15% da carteira (12m),70242739.89,171953507.04833335,0.40849844295560606,,,,,,,,
SUN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,32156038000144,213548427.06,,,,RF2 recompras/substituições > 15% da carteira (12m),65861599.239999995,162074762.93000004,0.4063655442053342,,,,,,,,
UNIQUE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32388171000126,353443030.46,,,,RF2 recompras/substituições > 15% da carteira (12m),95830718.54,237462662.15833333,0.4035612069239871,,,,,,,,
LOTUS PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,19424642000146,503850555.81,,,,RF2 recompras/substituições > 15% da carteira (12m),171116308.6,425742316.22416663,0.4019245963558434,,,,,,,,
LGX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34218918000123,121441290.33,,,,RF2 recompras/substituições > 15% da carteira (12m),41735184.58,103923499.07499999,0.4015952595079613,,,,,,,,
ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50491214000186,710016994.04,,,,RF2 recompras/substituições > 15% da carteira (12m),210621759.59,551331318.745,0.3820239344817922,,,,,,,,
FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I - RESPONSABILIDADE  LIMITADA,31570767000180,702136589.85,,,,RF2 recompras/substituições > 15% da carteira (12m),212938795.88,567106274.9775,0.37548305366299883,,,,,,,,
NEW TRADE BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13842701000110,205402109.63,,,,RF2 recompras/substituições > 15% da carteira (12m),66172671.849999994,179690771.79583335,0.36825859886219486,,,,,,,,
GAVEA OPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31024386000103,561229780.43,,,,RF2 recompras/substituições > 15% da carteira (12m),171604976.02,475200399.2241667,0.3611212791491125,,,,,,,,
GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICRÉDITO,13098860000151,305031610.3,,,,RF2 recompras/substituições > 15% da carteira (12m),93061177.43,261652494.24749997,0.35566707551418336,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS SKYFALL DE RESPONSABILIDADE LIMITADA,53030845000196,150394351.63,,,,RF2 recompras/substituições > 15% da carteira (12m),43007056.470000006,124796201.51666667,0.34461831327659737,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA,08654210000105,502797099.05,,,,RF2 recompras/substituições > 15% da carteira (12m),115492329.72,341751719.08166665,0.3379422056174102,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA NOVERDE CRÉDITO PESSOAL,26758072000196,90787060.8,,,,RF2 recompras/substituições > 15% da carteira (12m),86900573.47999999,263974240.44249997,0.32920096042071595,,,,,,,,
VECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSETORIAL,19187295000185,132379912.24,,,,RF2 recompras/substituições > 15% da carteira (12m),33549155.189999998,103436854.38833332,0.3243443102402002,,,,,,,,
RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE RESPONSABILIDADE LIMITADA,12813212000177,715409074.26,,,,RF2 recompras/substituições > 15% da carteira (12m),186389891.77,581912951.3325001,0.3203054534929889,,,,,,,,
BASSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,26756137000164,603633491.31,,,,RF2 recompras/substituições > 15% da carteira (12m),132813686.01000002,427425144.77000004,0.3107296976678053,,,,,,,,
OPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL,29226704000169,767510008.24,,,,RF2 recompras/substituições > 15% da carteira (12m),178691175.71,578446862.1916666,0.30891545514303653,,,,,,,,
CREDITISE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,28702814000197,179682476.82,,,,RF2 recompras/substituições > 15% da carteira (12m),55538908.980000004,180307229.0625,0.3080237507324153,,,,,,,,
LABRADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21917325000103,260167064.91,,,,RF2 recompras/substituições > 15% da carteira (12m),35408759.54,115382938.80083333,0.3068803751057194,,,,,,,,
BANFITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,35580989000134,281569395.14,,,,RF2 recompras/substituições > 15% da carteira (12m),64776019.72,212375000.535,0.3050077436460076,,,,,,,,
PREMIUM RECEBÍVEIS MULTISSETORIAL FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESP LIMITADA,27456204000198,164860734.48,,,,RF2 recompras/substituições > 15% da carteira (12m),45894630.339999996,150631215.40333337,0.30468206883355187,,,,,,,,
HB CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27326160000181,430621219.08,,,,RF2 recompras/substituições > 15% da carteira (12m),105136878.18,354356713.5408333,0.2966978588593464,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CASH FLOW MULTISSEGMENTOS,97533979000103,590129661.12,,,,RF2 recompras/substituições > 15% da carteira (12m),124809378.07,423421670.52083343,0.2947637940128977,,,,,,,,
MULTI ASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,10841847000152,442471992.48,,,,RF2 recompras/substituições > 15% da carteira (12m),100324632.86,346587953.4983334,0.2894637042267611,,,,,,,,
PHD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39769038000169,220380755.93,,,,RF2 recompras/substituições > 15% da carteira (12m),54460369.33999999,191032854.11249998,0.28508378620531977,,,,,,,,
GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,12254372000123,286636165.44,,,,RF2 recompras/substituições > 15% da carteira (12m),72834007.62,257838598.43999997,0.2824790704753569,,,,,,,,
EDISON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,34218936000105,120616801.56,,,,RF2 recompras/substituições > 15% da carteira (12m),33788416.050000004,121235244.5225,0.27870126532164685,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL,32969429000188,459089534.64,,,,RF2 recompras/substituições > 15% da carteira (12m),108067900.02000001,394508957.8308334,0.27393015513310565,,,,,,,,
VFA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51869340000194,131395453.6,,,,RF2 recompras/substituições > 15% da carteira (12m),37931698.660000004,138572036.1966667,0.27373270755844203,,,,,,,,
APPALOOSA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,30659203000155,132683262.73,,,,RF2 recompras/substituições > 15% da carteira (12m),28508649.5,105928395.83,0.26913132476538515,,,,,,,,
ROVENSA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO  RESPONSABILIDADE LIMITADA,17198822000121,163904940.18,,,,RF2 recompras/substituições > 15% da carteira (12m),36319403.57,136085858.47833332,0.2668859496211543,,,,,,,,
AERIS FIDC - INDÚSTRIA E COMÉRCIO - RESPONSABILIDADE LIMITADA,54349601000133,153642697.13,,,,RF2 recompras/substituições > 15% da carteira (12m),44639632.71,168451560.1933333,0.2649998175069837,,,,,,,,
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISETORIAL RESPONSABILIDADE LIMITADA,17468142000180,511752071.28,,,,RF2 recompras/substituições > 15% da carteira (12m),103423838.91999999,390506301.4216666,0.26484550580484356,,,,,,,,
RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,08632394000102,1569551198.23,,,,RF2 recompras/substituições > 15% da carteira (12m),309322208.89,1188061506.04,0.260358750214053,,,,,,,,
SOLAR PUGLIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52498421000198,304498232.36,,,,RF2 recompras/substituições > 15% da carteira (12m),57614030.23,224359071.25666666,0.25679385240496727,,,,,,,,
SEJA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,24987402000190,180573682.71,,,,RF2 recompras/substituições > 15% da carteira (12m),37122613.69,144876394.09,0.256236455380983,,,,,,,,
DCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32202903000141,176190282.59,,,,RF2 recompras/substituições > 15% da carteira (12m),37560479.510000005,148458254.01333335,0.25300364576985135,,,,,,,,
JES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,33133194000152,178212575.51,,,,RF2 recompras/substituições > 15% da carteira (12m),37528781.04,149425698.44083333,0.2511534590876275,,,,,,,,
SP CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49007595000104,186388901.69,,,,RF2 recompras/substituições > 15% da carteira (12m),30489154.080000002,123972767.36583334,0.2459342864391261,,,,,,,,
NOVA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,33289359000180,206058388.08,,,,RF2 recompras/substituições > 15% da carteira (12m),37289118.4,153293816.12500003,0.24325259389193768,,,,,,,,
ASSET BANK - II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,33490076000100,121694729.51,,,,RF2 recompras/substituições > 15% da carteira (12m),25196599.97,106485070.92166668,0.2366209624683943,,,,,,,,
CD CASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,37035970000132,291764021.23,,,,RF2 recompras/substituições > 15% da carteira (12m),59245305.99,256456759.26916668,0.2310147962519425,,,,,,,,
CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,47425750000179,215299982.37,,,,RF2 recompras/substituições > 15% da carteira (12m),46970578.6,204359872.11416665,0.2298424740340396,,,,,,,,
DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,50114948000146,1934784988.69,,,,RF2 recompras/substituições > 15% da carteira (12m),150143412.06,657286171.1991667,0.2284292879402517,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL TRADEMAX RESPONSABILIDADE LIMITADA,08756222000140,332410774.37,,,,RF2 recompras/substituições > 15% da carteira (12m),60063871.940000005,265819668.23333332,0.2259572150518097,,,,,,,,
MILLE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,14606072000191,147835225.3,,,,RF2 recompras/substituições > 15% da carteira (12m),23100489.2,103270869.44500001,0.22368833848448286,,,,,,,,
MIDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,58055083000104,272445948.05,,,,RF2 recompras/substituições > 15% da carteira (12m),31505666.13,144383359.26833335,0.21820842990255823,,,,,,,,
OLAM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,41649912000176,226582065.69,,,,RF2 recompras/substituições > 15% da carteira (12m),35357607.4,164565092.06499997,0.21485484531576382,,,,,,,,
RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,11489344000122,1271673604.01,,,,RF2 recompras/substituições > 15% da carteira (12m),208349714.26,1012139655.0899998,0.205850757069165,,,,,,,,
ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26208328000191,362729545.48,,,,RF2 recompras/substituições > 15% da carteira (12m),58716912.379999995,288521306.12916666,0.20350979679023537,,,,,,,,
BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,11507489000109,336031124.63,,,,RF2 recompras/substituições > 15% da carteira (12m),48935955.14999999,241347563.3683333,0.20276133915351047,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS GOAL ONE,12610459000196,212964931.68,,,,RF2 recompras/substituições > 15% da carteira (12m),31716302.71,156980111.46166667,0.202040261117695,,,,,,,,
MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL,09363400000136,211002624.21,,,,RF2 recompras/substituições > 15% da carteira (12m),21991459.109999992,111248076.48166667,0.1976794548319594,,,,,,,,
ACREDITAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,29152636000130,371884905.63,,,,RF2 recompras/substituições > 15% da carteira (12m),51562573.52999999,263400762.6766667,0.19575711553005173,,,,,,,,
BINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52258255000152,329825623.67,,,,RF2 recompras/substituições > 15% da carteira (12m),37437064.349999994,194093779.58166668,0.1928813196934424,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4,55565510000106,267416885.76,,,,RF2 recompras/substituições > 15% da carteira (12m),40288600.440000005,219353048.44916666,0.18367011867326097,,,,,,,,
SBK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,19932422000123,161507626.42,,,,RF2 recompras/substituições > 15% da carteira (12m),23389083.94,127347892.955,0.1836629047978425,,,,,,,,
BRISTOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,33499726000170,151656896.17,,,,RF2 recompras/substituições > 15% da carteira (12m),24317793.0,135422278.60083333,0.17957010656775613,,,,,,,,
IOX PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,24506071000129,305413658.75,,,,RF2 recompras/substituições > 15% da carteira (12m),44938676.0,253131749.98416662,0.1775307759805355,,,,,,,,
WORKCAP AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,33076242000118,443208155.43,,,,RF2 recompras/substituições > 15% da carteira (12m),67631461.82,388994814.64166665,0.17386211659993614,,,,,,,,
UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,26558785000106,519145597.58,,,,RF2 recompras/substituições > 15% da carteira (12m),96133259.14999999,560930334.7725,0.17138181551366685,,,,,,,,
PETTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59499177000127,228524339.69,,,,RF2 recompras/substituições > 15% da carteira (12m),21015208.04,125374341.65666668,0.16761968806623467,,,,,,,,
STARS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP DE RESPONSABILIDADE LIMITADA,42700626000150,594906046.84,,,,RF2 recompras/substituições > 15% da carteira (12m),85829743.71000001,519637329.3241667,0.1651723978753201,,,,,,,,
DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,11468192000181,338088492.32,,,,RF2 recompras/substituições > 15% da carteira (12m),42286927.28,259698484.9658333,0.16283085858419002,,,,,,,,
OPHIR FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS,42605322000104,313077894.98,,,,RF2 recompras/substituições > 15% da carteira (12m),42678965.35,262870235.5858333,0.16235754213437495,,,,,,,,
C6 BANK TV1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,29828733000109,490720357.85,,,,RF2 recompras/substituições > 15% da carteira (12m),46968074.019999996,303846312.34250003,0.15457839082495395,,,,,,,,
JP CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,40753151000135,191042749.24,,,,RF2 recompras/substituições > 15% da carteira (12m),21419587.41,139880690.04,0.15312755037078313,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CONSÓRCIOS CONSORCIEI III RESPONSABILIDADE LIMITADA,57213492000110,129460738.27,,,,RF2 recompras/substituições > 15% da carteira (12m),17704313.87,116278364.86500002,0.15225802229464466,,,,,,,,
UNAVANTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13327334000116,191404975.74,,,,RF2 recompras/substituições > 15% da carteira (12m),25095705.04,164866535.23916668,0.15221830800043473,,,,,,,,
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,8458862801.73,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21126275000146,4242510733.6,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS,51152102000163,3967152720.03,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",12817329000129,3666009327.0,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
FIDC GM - VENDA DE VEÍCULOS,11230727000181,2984648919.61,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53029409000105,2943415740.48,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52651831000127,2187326043.42,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57719370000109,2140596574.92,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,0.0,,,,,
MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42449510000190,1967671103.82,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
RHODONITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,41776416000183,1881917745.61,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,0.0,,,,,
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,1865513705.6,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,13764696000174,1447126452.7,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62681110000113,1337788554.49,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
LAGUZ I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,41240321000140,1302594039.08,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
CIB-K FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,48357568000190,1217072890.67,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS BRASIL,32774233000138,1163772257.6,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
HAVAN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA,51344394000136,1013545604.38,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
MEG FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,23245575000170,933138902.77,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITOS NÃO PADRONIZADOS I RESPONSABILIDADE LIMITADA,36672404000179,891514870.24,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
AMAZONITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36246327000195,812145748.68,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,0.0,,,,,
AZO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,50314076000160,802801274.96,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
DANIELE FUNDO DE INVEST EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,13005223000193,724029633.13,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,,,,,,
DJF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,35880735000131,694793402.11,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,09115244000194,694519721.34,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,0.0,,,,,
MASONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,37021511000108,673285076.06,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,15428505000129,648584193.38,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
SALUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP,10509884000168,620015331.67,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
SOA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS,57449433000146,518000319.36,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
ATENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO INFRAESTRUTURA DE RESP LIMITADA,65411764000115,511741022.82,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,0.0,,,,,
RAVENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53314997000110,455577017.38,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,2.0,S,0.0,,,,,
MARNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS,61432674000150,446717388.73,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
MT INSS RECEIVABLES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40752367000186,426917130.82,,,,RF3 1-2 cotistas + interesse único + subordinação <5%,,,,1.0,S,,,,,,
