DT_COMPTC,CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,ADMIN,n_sacados_reportados,n_valores_negativos,top1,top5,top10,top25,dc_com_risco,dc_sem_risco,dc_total,denominador_indisponivel,top1_sobre_dc,top5_sobre_dc,top10_sobre_dc,top25_sobre_dc,hhi_parcial_piso,inconsistencia_viii_vs_i
2026-06-30,09195235000150,FIDC DO SISTEMA PETROBRAS,Classe,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,1,0.0,58239773982.06,58239773982.06,58239773982.06,58239773982.06,0.0,58239773982.06,58239773982.06,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,6479950762.42,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,6096322521.75,6096322521.75,6096322521.75,6096322521.75,0.0,6096322521.75,6096322521.75,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,59385783000111,KRISPY  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,42664019.95,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,5426081965.4,5426081965.4,5426081965.4,5426081965.4,5025681965.4,0.0,5025681965.4,False,1.079670779559194,1.079670779559194,1.079670779559194,1.079670779559194,1.1656889922339577,True
2026-06-30,33254370000104,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Classe,3017886933.33,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1,0.0,3881146805.09,3881146805.09,3881146805.09,3881146805.09,2433611963.15,574263515.43,3007875478.58,False,1.2903282841091102,1.2903282841091102,1.2903282841091102,1.2903282841091102,1.6649470807719609,True
2026-06-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO MEIOS DE PAGAMENTO,Classe,3254537202.75,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1,0.0,3029985623.04,3029985623.04,3029985623.04,3029985623.04,0.0,3022054631.6,3022054631.6,False,1.0026243706374696,1.0026243706374696,1.0026243706374696,1.0026243706374696,1.005255628596182,False
2026-06-30,62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,Classe,3091715187.97,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2,0.0,2643945914.55,2701059105.03,2701059105.03,2701059105.03,2701059105.03,0.0,2701059105.03,False,0.978855260748037,1.0,1.0,1.0,0.958604721492141,False
2026-06-30,57609282000146,CLOUDWALK A.I. FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Classe,2700487143.69,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1,0.0,2435294667.5,2435294667.5,2435294667.5,2435294667.5,2442991406.59,0.0,2442991406.59,False,0.9968494612509736,0.9968494612509736,0.9968494612509736,0.9968494612509736,0.9937088483963563,False
2026-06-30,42358004000196,ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,Classe,2341582512.2,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,0.0,2341685355.99,2341685355.99,2341685355.99,2341685355.99,0.0,2341685355.99,2341685355.99,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,32321307000180,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,Classe,2712460624.74,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,4,0.0,2211990287.36,2691090756.76,2691090756.76,2691090756.76,166701570.92,0.0,166701570.92,False,13.269162822835865,16.143163750097195,16.143163750097195,16.143163750097195,180.04764548712882,True
2026-06-30,57719370000109,RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,2140596574.92,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,0.0,2143000000.0,2143000000.0,2143000000.0,2143000000.0,2143000000.0,0.0,2143000000.0,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,21648446000105,CREDIFIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,355155990.12,PLANNER CORRETORA DE VALORES S.A.,1,0.0,2113010809.34,2113010809.34,2113010809.34,2113010809.34,494893849.59,0.0,494893849.59,False,4.269624306486222,4.269624306486222,4.269624306486222,4.269624306486222,18.229691718537946,True
2026-06-30,13321819000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,Classe,2110355080.85,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,2098119640.26,2098119640.26,2098119640.26,2098119640.26,2098119640.26,0.0,2098119640.26,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Classe,8719298749.48,INTRAG DTVM LTDA.,25,0.0,1724660113.96,5098904799.369999,5713578790.45,5715129617.759999,5715129617.76,0.0,5715129617.76,False,0.30177095347068733,0.8921765804794598,0.9997286452952561,0.9999999999999998,0.19805522736333997,False
2026-06-30,15489383000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SAN MARINO,Classe,253403696.37,PLANNER CORRETORA DE VALORES S.A.,1,0.0,1573706951.6,1573706951.6,1573706951.6,1573706951.6,180382019.07,0.0,180382019.07,False,8.724300568945837,8.724300568945837,8.724300568945837,8.724300568945837,76.11342041730866,True
2026-06-30,13764696000174,JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,1447126452.7,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1,0.0,1431792482.99,1431792482.99,1431792482.99,1431792482.99,1431792482.99,0.0,1431792482.99,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,54979779000168,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,Classe,3677016076.94,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,6,0.0,1385627567.39,3439826712.29,3568445607.68,3568445607.68,3568445607.68,0.0,3568445607.68,False,0.3883000386520831,0.963956604771224,1.0,1.0,0.2485942646972542,False
2026-06-30,62838025000116,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,2004513902.3,INTRAG DTVM LTDA.,4,0.0,1304804268.82,1815548371.9,1815548371.9,1815548371.9,1815548371.9,0.0,1815548371.9,False,0.7186832854552377,1.0,1.0,1.0,0.5772162435387653,False
2026-06-30,05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,Classe,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,1276051396.17,1276051396.17,1276051396.17,1276051396.17,1276051396.17,0.0,1276051396.17,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,52327260000170,IFOOD I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADA,Classe,1389238751.96,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,1,0.0,1262880043.04,1262880043.04,1262880043.04,1262880043.04,1262880043.04,0.0,1262880043.04,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,38376526000143,HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,Classe,1702368453.87,BANCO GENIAL S.A.,1,0.0,1251079163.41,1251079163.41,1251079163.41,1251079163.41,1251079163.41,0.0,1251079163.41,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,Classe,5861437942.62,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,25,0.0,1220522065.85,4243751990.88,6123549374.31,7748208165.74,5100989658.62,0.0,5100989658.62,False,0.23927162129950186,0.8319467936400574,1.2004630050488359,1.5189617474810109,0.1882609887858681,True
2026-06-30,32321306000136,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,780376793.13,PLANNER CORRETORA DE VALORES S.A.,1,0.0,1212908962.46,1212908962.46,1212908962.46,1212908962.46,0.0,776828770.14,776828770.14,False,1.5613594772518655,1.5613594772518655,1.5613594772518655,1.5613594772518655,2.4378434172042187,True
2026-06-30,53300525000109,IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,1909790565.67,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,21,0.0,991125533.64,1717026081.12,1877994816.96,1915556359.77,971631552.56,939822971.28,1911454523.84,False,0.5185190237478875,0.8982824648480756,0.982495159334065,1.0021459238913828,0.319400935952668,False
2026-06-30,63465818000108,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,Classe,1245855236.41,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,0.0,981811355.81,1245333062.9499998,1245333062.9499998,1245333062.9499998,1245987236.41,0.0,1245987236.41,False,0.7879786623166729,0.9994749757935842,0.9994749757935842,0.9994749757935842,0.6656410628806972,False
2026-06-30,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Classe,10010957003.11,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24,0.0,980970839.08,4405216699.59,6605318478.280001,8654890928.75,9443495620.98,0.0,9443495620.98,False,0.10387793656626906,0.46648157381502003,0.6994569324102183,0.9164922901559875,0.060457527897760155,False
2026-06-30,23245575000170,MEG FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,933138902.77,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,933138902.77,933138902.77,933138902.77,933138902.77,0.0,0.0,0.0,True,,,,,,
2026-06-30,35754011000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PORTO DESAP -RESPONSABILIDADE LIMITADA,Classe,896266402.0,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1,0.0,897421755.22,897421755.22,897421755.22,897421755.22,897421755.22,0.0,897421755.22,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,06182371000118,FOR-TE FIDC,Classe,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,6,0.0,857254528.07,859066660.5400001,859141390.7900001,859141390.7900001,0.0,859141390.79,859141390.79,False,0.9978037809140299,0.9999130175186518,1.0000000000000002,1.0000000000000002,0.995614715756925,False
2026-06-30,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Classe,1629151199.24,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,25,0.0,837771066.39,1165876878.8100002,1384378490.6400003,1756878545.0500004,109437213.31,1265176834.65,1374614047.96,False,0.6094591188219679,0.8481485261555585,1.0071034067304137,1.2780886006929009,0.39795272306423574,True
2026-06-30,47227790000106,SAPPHIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Classe,1425902192.06,BANCO DAYCOVAL S.A.,1,0.0,830942506.15,830942506.15,830942506.15,830942506.15,760942014.37,0.0,760942014.37,False,1.0919918869744034,1.0919918869744034,1.0919918869744034,1.0919918869744034,1.1924462812179184,True
2026-06-30,53029409000105,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,Classe,2943415740.48,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,5,0.0,782100979.01,3182264805.82,3182264805.82,3182264805.82,3095804996.83,0.0,3095804996.83,False,0.2526325074773266,1.0279280539564126,1.0279280539564126,1.0279280539564126,0.50398888131238,False
2026-06-30,23006061000161,MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,200573086.13,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1,0.0,697105237.53,697105237.53,697105237.53,697105237.53,209306023.73,0.0,209306023.73,False,3.3305550652916223,3.3305550652916223,3.3305550652916223,3.3305550652916223,11.092597042939683,True
2026-06-30,41970012000126,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Classe,1761615997.81,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1,0.0,677143242.34,677143242.34,677143242.34,677143242.34,1672376394.14,0.0,1672376394.14,False,0.40489882822593476,0.40489882822593476,0.40489882822593476,0.40489882822593476,0.163943061098735,False
2026-06-30,09115244000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,Classe,694519721.34,OLIVEIRA TRUST DTVM S.A.,1,0.0,675364435.48,675364435.48,675364435.48,675364435.48,675364435.48,0.0,675364435.48,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,51344394000136,HAVAN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA,Classe,1013545604.38,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,3,0.0,667554492.75,910675878.91,910675878.91,910675878.91,910025248.71,0.0,910025248.71,False,0.7335560125351327,1.0007149584046402,1.0007149584046402,1.0007149584046402,0.5913915207962469,False
2026-06-30,15428505000129,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,648584193.38,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1,0.0,643859382.83,643859382.83,643859382.83,643859382.83,643859382.83,0.0,643859382.83,False,1.0,1.0,1.0,1.0,1.0,False
2026-06-30,42449510000190,MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,1967671103.82,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,0.0,643769490.03,643769490.03,643769490.03,643769490.03,643769490.03,0.0,643769490.03,False,1.0,1.0,1.0,1.0,1.0,False
