papel,n_entidades,pl_identificado,cobertura_sobre_pl_mercado,hhi,share_top1,share_top5
Administrador,52,999497428095.1998,1.0000000000000007,0.07544336837468865,0.16106977321494031,0.5259932690207737
Gestor,491,999437388082.8999,0.999939929798105,0.020840232503815257,0.0762996606894846,0.2409614585617687
Custodiante,46,990158881719.2003,0.9906567579730587,0.08233145842497419,0.16413056714503924,0.5558636980732015
Controlador,27,69532187005.7,0.06956714950053605,0.2287414243508466,0.45044908201423944,0.7020919874127944
Auditor,34,972956495344.3905,0.9734457218150234,0.13115416762883925,0.2162881686052493,0.7513450291602959
