CNPJ,DENOM_SOCIAL,serie,esperado,realizado,gap,VL_PL
62514003000109,CHIMERA ALTERNATIVE ASSETS XII SR.2 FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESP LIMITADA,Subclasse Senior Subclasse 1,1.55,1.55,0.0,40131538.67
62522015000177,SOMACRED CRÉDITO ESTRUTURADO FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,0.0,1.58,1.58,13923282.07
62527939000166,TITANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Série 1,1.46,1.46,0.0,12117937.4
62527939000166,TITANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Mezanino 1 | Série 1,1.57,1.57,0.0,12117937.4
62527939000166,TITANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,3.42,3.42,0.0,12117937.4
62540865000106,BARAC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior,0.0,0.0,0.0,3888411.96
62540865000106,BARAC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,0.0,0.13,0.13,3888411.96
62541630000120,ST 1023 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Senior,0.0,0.0,0.0,41666896.69
62541630000120,ST 1023 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,1.78,1.78,41666896.69
62543066000185,VALONGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Senior,0.0,0.0,0.0,31480248.0
62543066000185,VALONGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,0.99,0.99,31480248.0
