data,valor,indice
2012-12-01,0.79,1.0079
2013-01-01,0.86,1.01656794
2013-02-01,0.6,1.0226673476400001
2013-03-01,0.47,1.027473884173908
2013-04-01,0.55,1.0331249905368645
2013-05-01,0.37,1.0369475530018508
2013-06-01,0.26,1.0396436166396557
2013-07-01,0.03,1.0399555097246476
2013-08-01,0.24,1.0424514029479868
2013-09-01,0.35,1.0460999828583049
2013-10-01,0.57,1.0520627527605972
2013-11-01,0.54,1.0577438916255046
2013-12-01,0.92,1.0674751354284593
2014-01-01,0.55,1.0733462486733159
2014-02-01,0.69,1.0807523377891617
2014-03-01,0.92,1.090695259296822
2014-04-01,0.67,1.0980029175341106
2014-05-01,0.46,1.1030537309547674
2014-06-01,0.4,1.1074659458785865
2014-07-01,0.01,1.1075766924731743
2014-08-01,0.25,1.1103456342043572
2014-09-01,0.57,1.116674604319322
2014-10-01,0.42,1.1213646376574633
2014-11-01,0.51,1.1270835973095166
2014-12-01,0.78,1.135874849368531
2015-01-01,1.24,1.1499596975007007
2015-02-01,1.22,1.1639892058102093
2015-03-01,1.32,1.179353863326904
2015-04-01,0.71,1.1877272757565251
2015-05-01,0.74,1.1965164575971234
2015-06-01,0.79,1.2059689376121407
2015-07-01,0.62,1.213445945025336
2015-08-01,0.22,1.2161155261043919
2015-09-01,0.54,1.2226825499453557
2015-10-01,0.82,1.2327085468549077
2015-11-01,1.01,1.2451589031781423
2015-12-01,0.96,1.2571124286486526
2016-01-01,1.27,1.2730777564924904
2016-02-01,0.9,1.2845354563009228
2016-03-01,0.43,1.2900589587630167
2016-04-01,0.61,1.2979283184114712
2016-05-01,0.78,1.3080521592950807
2016-06-01,0.35,1.3126303418526135
2016-07-01,0.52,1.3194560196302472
2016-08-01,0.44,1.3252616261166201
2016-09-01,0.08,1.3263218354175133
2016-10-01,0.26,1.3297702721895988
2016-11-01,0.18,1.3321638586795401
2016-12-01,0.3,1.3361603502555786
2017-01-01,0.38,1.34123775958655
2017-02-01,0.33,1.3456638441931856
2017-03-01,0.25,1.3490280038036686
2017-04-01,0.14,1.3509166430089938
2017-05-01,0.31,1.355104484602322
2017-06-01,-0.23,1.3519877442877366
2017-07-01,0.24,1.3552325148740272
2017-08-01,0.19,1.3578074566522877
2017-09-01,0.16,1.3599799485829314
2017-10-01,0.42,1.3656918643669798
2017-11-01,0.28,1.369515801587207
2017-12-01,0.44,1.3755416711141908
2018-01-01,0.29,1.379530741960422
2018-02-01,0.32,1.3839452403346955
2018-03-01,0.09,1.3851907910509966
2018-04-01,0.22,1.3882382107913087
2018-05-01,0.4,1.393791163634474
2018-06-01,1.26,1.4113529322962683
2018-07-01,0.33,1.4160103969728461
2018-08-01,-0.09,1.4147359876155705
2018-09-01,0.48,1.421526720356125
2018-10-01,0.45,1.4279235905977274
2018-11-01,-0.21,1.4249249510574722
