tribunal,classe_nome,mes,n_processos
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,4
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,7
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-03,10
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-04,7
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-05,17
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-06,8
TJPR,Recuperação Judicial,2024-08,2
TJPR,Recuperação Judicial,2024-09,6
TJPR,Recuperação Judicial,2024-10,9
TJPR,Recuperação Judicial,2024-11,6
TJPR,Recuperação Judicial,2024-12,7
TJPR,Recuperação Judicial,2025-01,10
TJPR,Recuperação Judicial,2025-02,7
TJPR,Recuperação Judicial,2025-03,9
TJPR,Recuperação Judicial,2025-04,12
TJPR,Recuperação Judicial,2025-05,11
TJPR,Recuperação Judicial,2025-06,12
TJPR,Recuperação Judicial,2025-07,11
TJPR,Recuperação Judicial,2025-08,5
TJPR,Recuperação Judicial,2025-09,11
TJPR,Recuperação Judicial,2025-10,11
TJPR,Recuperação Judicial,2025-11,21
TJPR,Recuperação Judicial,2025-12,11
TJPR,Recuperação Judicial,2026-01,8
TJPR,Recuperação Judicial,2026-02,6
TJPR,Recuperação Judicial,2026-03,15
TJPR,Recuperação Judicial,2026-04,12
TJPR,Recuperação Judicial,2026-05,13
TJPR,Recuperação Judicial,2026-06,11
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08,10
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-09,11
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-10,17
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-11,9
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12,9
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-01,4
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-02,21
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03,16
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04,20
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-05,17
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06,15
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07,21
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08,18
