CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,classificacao,score_risco,materialidade_max_rs,materialidade_soma_rs,forca_evidencia,obs_disparados,der_disparados,cobertura_dados_pct,n_avaliaveis,n_disparos,n_disparos_persistentes,n_criticos,n_altos,persistencia_media_meses,atualidade,peso_disponivel,peso_disparado
44062556000188,ARES FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,352158020.63,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.26,348894895.88,1555381351.6280441,0.6,3.0,2.0,78.26,36,5,4.0,0.0,0.0,8.4,2026-06-30,152.0,8.0
60261869000111,JIVEMAUÁ BOSSANOVA CRÉDITO SECURITIZADO (VAREJO) FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RL,205926088.48,XP INVESTIMENTOS CCTVM S.A.,atenção baixa,5.26,205926088.48,205926088.48,1.0,1.0,0.0,54.35,25,1,1.0,0.0,1.0,11.0,2026-06-30,114.0,6.0
25167283000191,KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,191330728.55,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,atenção baixa,5.26,191330728.55,488376672.74,0.667,2.0,1.0,69.57,32,3,3.0,0.0,0.0,8.333333333333334,2026-06-30,133.0,7.0
19686540000107,SG 4870 III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,96668140.13,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,atenção baixa,5.26,96753425.76,193421565.8800003,0.5,1.0,1.0,65.22,30,2,2.0,0.0,1.0,13.0,2026-06-30,133.0,7.0
52511479000124,ALGARVE BETA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52686355.03,BANCO DAYCOVAL S.A.,atenção baixa,5.26,52082999.58,104165999.16,1.0,2.0,0.0,69.57,32,2,2.0,0.0,1.0,13.0,2026-06-30,133.0,7.0
42513856000100,ESTRATÉGIA ATIVOS JUDICIAIS IV - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56188237.49,BANCO J. SAFRA S.A.,atenção baixa,5.26,51629367.15,103258734.3,1.0,2.0,0.0,54.35,25,2,1.0,0.0,1.0,5.5,2026-06-30,114.0,6.0
08621199000187,FAMCRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS  RESPONSABILIDADE LIMITADA,161827873.73,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,atenção baixa,5.23,170662306.24,188143622.64000002,1.0,2.0,0.0,84.78,39,2,2.0,0.0,1.0,13.0,2026-06-30,172.0,9.0
10810396000196,CORPORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,73685561.09,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.23,60052760.980000004,119047196.64,0.0,0.0,2.0,84.78,39,2,2.0,0.0,1.0,11.0,2026-06-30,172.0,9.0
55947377000144,CLASSE ÚNICA DE RESP LIMITADA DO PLGN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2431575.28,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,atenção baixa,5.22,14669285.13,14669285.13,0.0,0.0,1.0,58.7,27,1,1.0,0.0,1.0,1.0,2026-06-30,115.0,6.0
58528148000183,SMASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,9755252.75,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.22,9755252.75,9755252.75,1.0,1.0,0.0,60.87,28,1,1.0,0.0,1.0,13.0,2026-06-30,115.0,6.0
13805152000103,PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,234467583.91,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.2,496492445.84000003,594210730.91,0.0,0.0,2.0,86.96,40,2,2.0,0.0,1.0,8.5,2026-06-30,173.0,9.0
